id,hbnew,hb_label,sitenew,site_label,sexnew,sex_label,label,age_label,trans1.1993,trans1.1994,trans1.1995,trans1.1996,trans1.1997,trans1.1998,trans1.1999,trans1.2000,trans1.2001,trans1.2002,trans1.2003,trans1.2004,trans1.2005,trans1.2006,trans1.2007,trans1.2008,trans1.2009,trans1.2010,trans1.2011,trans1.2012,trans1.2013,trans1.2014,trans1.2015,trans1.2016,trans1.2017
10041000,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,0,Number of registrations: Under 5,5,13,7,8,7,8,12,8,4,7,16,4,11,5,5,6,8,6,9,11,13,7,12,12,5
10041001,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,1,Number of registrations: 5..,10,11,9,5,9,8,7,4,9,10,10,6,4,6,11,8,7,6,11,8,4,14,6,10,8
10041002,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,2,Number of registrations: 10-14,4,8,8,4,6,7,5,5,9,5,3,8,5,7,4,9,7,9,5,5,5,6,2,5,8
10041003,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,3,Number of registrations: 15-19,8,6,2,6,3,7,7,1,2,6,5,3,7,5,5,4,6,3,5,3,5,7,1,4,9
10041004,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,4,Number of registrations: 20-24,5,5,5,7,5,7,4,7,6,4,3,2,9,6,4,5,6,6,7,6,5,7,5,7,5
10041005,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,5,Number of registrations: 25-29,12,6,6,20,9,6,12,11,4,10,5,3,7,2,13,6,12,11,6,8,14,10,6,15,10
10041006,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,6,Number of registrations: 30-34,14,12,8,15,12,8,13,16,16,16,11,5,8,10,14,8,8,7,9,14,13,14,8,14,15
10041007,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,7,Number of registrations: 35-39,15,13,17,24,16,11,20,13,21,21,9,14,9,19,15,16,7,11,17,13,11,13,16,16,8
10041008,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,8,Number of registrations: 40-44,19,15,19,19,11,16,14,23,12,18,18,18,16,14,15,18,11,20,23,18,18,15,17,24,12
10041009,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,9,Number of registrations: 45-49,23,27,25,16,17,21,20,32,24,16,16,24,19,23,32,33,22,21,28,32,35,20,23,21,17
10041010,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,10,Number of registrations: 50-54,31,45,21,33,25,21,25,35,34,27,25,30,34,34,31,33,29,31,38,31,36,44,22,28,35
10041011,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,11,Number of registrations: 55-59,39,27,44,30,30,40,22,43,38,24,32,54,44,40,41,50,39,39,36,40,42,49,42,36,47
10041012,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,12,Number of registrations: 60-64,41,41,40,47,43,30,45,43,42,44,41,53,36,46,40,52,45,43,48,39,40,50,40,44,40
