id,hbnew,hb_label,sitenew,site_label,sexnew,sex_label,label,age_label,trans1.1993,trans1.1994,trans1.1995,trans1.1996,trans1.1997,trans1.1998,trans1.1999,trans1.2000,trans1.2001,trans1.2002,trans1.2003,trans1.2004,trans1.2005,trans1.2006,trans1.2007,trans1.2008,trans1.2009,trans1.2010,trans1.2011,trans1.2012,trans1.2013,trans1.2014,trans1.2015,trans1.2016,trans1.2017,trans1.2018
10041000,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,0,Number of deaths: Under 5,2,5,1,5,2,3,0,2,1,5,3,6,1,3,3,1,1,2,1,3,3,2,1,0,4,1
10041001,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,1,Number of deaths: 5..,5,6,5,2,3,2,5,3,3,1,5,2,1,2,0,5,3,2,0,2,3,6,3,5,1,8
10041002,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,2,Number of deaths: 10-14,7,3,3,5,2,0,3,2,1,4,1,2,8,5,5,4,3,0,3,0,2,3,4,2,3,3
10041003,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,3,Number of deaths: 15-19,1,1,2,3,3,1,4,2,1,3,1,2,2,4,2,3,5,2,2,0,4,3,2,0,1,1
10041004,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,4,Number of deaths: 20-24,4,2,2,3,6,2,1,3,3,6,3,0,1,1,2,3,2,4,0,1,1,3,1,1,1,1
10041005,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,5,Number of deaths: 25-29,6,7,6,2,2,1,5,1,1,1,4,2,4,4,6,0,7,4,3,6,1,2,7,4,4,4
10041006,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,6,Number of deaths: 30-34,6,5,8,7,9,3,6,6,5,11,6,12,9,6,4,6,5,4,7,7,5,5,5,9,7,13
10041007,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,7,Number of deaths: 35-39,7,6,7,14,9,9,14,11,8,11,10,7,16,11,9,11,5,6,15,7,6,8,5,9,11,11
10041008,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,8,Number of deaths: 40-44,11,16,17,11,17,6,14,16,19,14,15,17,19,9,16,18,5,12,17,14,13,13,9,16,11,10
10041009,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,9,Number of deaths: 45-49,12,19,18,10,14,14,17,14,24,18,19,24,18,22,15,21,23,20,20,17,25,25,24,24,19,15
10041010,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,10,Number of deaths: 50-54,19,24,36,27,32,25,29,26,31,25,25,17,34,32,21,31,24,41,30,23,35,32,36,27,26,28
10041011,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,11,Number of deaths: 55-59,36,35,27,37,27,31,33,28,44,33,29,44,42,33,46,39,34,34,35,50,41,41,53,34,29,52
10041012,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,12,Number of deaths: 60-64,41,38,37,30,44,41,31,45,37,41,39,44,51,45,37,39,46,31,52,43,35,47,35,52,48,43
10041013,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,13,Number of deaths: 65-69,51,44,34,34,45,30,47,52,50,55,48,34,34,45,46,48,64,54,47,55,64,60,69,64,45,59
10041014,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,14,Number of deaths: 70-74,31,45,42,41,34,43,50,46,43,38,35,48,53,48,55,46,39,57,38,47,45,55,48,44,57,67
10041015,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,15,Number of deaths: 75-79,25,28,22,15,31,33,34,37,39,36,40,34,36,32,40,27,40,49,38,46,42,41,54,36,64,49
10041016,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,16,Number of deaths: 80x4,15,11,18,10,17,17,24,19,10,24,29,29,21,24,21,23,22,26,17,31,32,19,25,36,31,31
10041017,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,17,Number of deaths: 85x9,8,7,7,6,6,8,14,13,6,7,13,9,3,7,4,15,14,7,13,16,24,21,18,14,10,16
10041018,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,18,Number of deaths: 90+,1,0,4,0,3,5,1,1,3,2,2,4,0,4,7,4,3,4,2,8,7,2,3,2,10,7
10041019,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,19,Number of deaths: All Ages,288,302,296,262,306,274,332,327,329,335,327,337,353,337,339,344,345,359,340,376,388,388,402,379,382,419
10041020,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,20,Mortality rate: Under 5,0.619237224,1.551749287,0.314143362,1.6124715,0.660709271,1.012176483,0,0.706182273,0.361976537,1.853334519,1.131545994,2.275097166,0.376656346,1.119875171,1.093665127,0.354514386,0.347818828,0.68747422,0.340615697,1.014233071,1.020258942,0.6852671,0.343437257,0,1.417906744,0.361190774
10041021,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,21,Mortality rate: 5..,1.545757514,1.841394549,1.541397307,0.618161587,0.926569377,0.623631908,1.570105197,0.957420327,0.980991652,0.332954875,1.690605643,0.68490336,0.347130618,0.706274543,0,1.836763182,1.112825687,0.741845266,0,0.725697304,1.061206875,2.078130791,1.026146205,1.673012963,0.331179562,2.657021678
10041022,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,22,Mortality rate: 10-14,2.170630134,0.932957662,0.935579139,1.566577998,0.624670096,0,0.924160323,0.6194175,0.309671346,1.238413097,0.312467777,0.627165681,2.536011361,1.610845501,1.629158019,1.316707704,0.999536881,0,1.033534758,0,0.726923804,1.103350877,1.469820902,0.728921415,1.071057526,1.04242677
10041023,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,23,Mortality rate: 15-19,0.324127045,0.326418697,0.64969026,0.966348523,0.951673995,0.314153231,1.259148501,0.629136573,0.314856504,0.941637319,0.311602196,0.620058906,0.61960172,1.230595054,0.607402413,0.911502247,1.504569377,0.602725525,0.611937056,0,1.275921135,0.973169711,0.657931529,0,0.34478003,0.351414796
10041024,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,24,Mortality rate: 20-24,1.036881889,0.538022016,0.559785043,0.88119443,1.863053172,0.646322586,0.325328093,0.968976599,0.951188193,1.856573508,0.91326981,0,0.297914302,0.295484698,0.585516089,0.865338852,0.573557288,1.13082836,0,0.269297161,0.270068084,0.814020692,0.271983028,0.274750183,0.280419171,0.285205805
10041025,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,25,Mortality rate: 25-29,1.463157689,1.722360421,1.506689702,0.510954872,0.527718409,0.275231125,1.444969771,0.303056017,0.317576258,0.331798214,1.364358854,0.677860401,1.321012688,1.281422892,1.837480936,0,2.058980981,1.16651745,0.866178335,1.727453848,0.284030391,0.559349812,1.923679394,1.069164234,1.046441054,1.046189256
10041026,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,26,Mortality rate: 30-34,1.506837274,1.236026718,1.958988574,1.72147939,2.217950614,0.745747376,1.51320651,1.551457983,1.311520131,2.96787945,1.673252776,3.479309705,2.694094545,1.864784478,1.283767086,1.957413213,1.61575425,1.267764551,2.161921763,2.102499872,1.467528008,1.454833247,1.437194596,2.557450279,1.97138673,3.598536226
10041027,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,27,Mortality rate: 35-39,1.968387694,1.643515919,1.86718948,3.663655491,2.316232673,2.28242759,3.508015816,2.729135757,1.983969526,2.731548391,2.497864326,1.764032882,4.102195957,2.846127972,2.369793038,2.973985736,1.398519248,1.729530288,4.462944175,2.17398731,1.910158862,2.540029274,1.561831341,2.745970289,3.244330532,3.16094679
10041028,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,28,Mortality rate: 40-44,3.276003276,4.781171746,5.063683264,3.237055457,4.893325504,1.689669641,3.855538481,4.309137526,5.014674521,3.625196149,3.818047145,4.259455992,4.679272792,2.20764089,3.910737418,4.414166532,1.237541055,3.024696648,4.318403512,3.63192043,3.473372591,3.602225621,2.572714929,4.738803097,3.384271751,3.149388074
10041029,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,29,Mortality rate: 45-49,3.589246617,5.543188734,5.132123673,2.815529334,4.115867551,4.189133388,5.111767288,4.199714419,7.096224808,5.199366833,5.37281694,6.628332809,4.853531214,5.809148352,3.875498324,5.313644173,5.727006071,4.896488239,4.868916593,4.143653142,6.130200556,6.193054861,6.063392771,6.118531247,4.934167814,4.007619821
10041030,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,30,Mortality rate: 50-54,6.694242247,8.333246529,12.40959951,9.102954414,10.05618896,7.573737912,8.57995781,7.517427421,8.834853783,7.418089456,7.540431795,5.145527628,10.24531503,9.507313204,6.086286148,8.788691506,6.645879831,11.10798041,7.950874199,5.978575903,8.918651704,8.02739348,8.882462811,6.638947014,6.387437385,6.918927467
10041031,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,31,Mortality rate: 55-59,13.17576099,12.73167094,9.799046952,13.5531632,9.882435618,11.21400666,11.7533506,9.894237667,15.16519725,10.57868619,8.950893546,13.22115385,12.30653829,9.527163965,13.81290125,11.90185547,10.42768858,10.38897546,10.54458249,14.73639536,11.83527605,11.56059585,14.6077945,9.168844267,7.654017303,13.44850773
10041032,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,32,Mortality rate: 60-64,15.60115829,14.56569319,14.25313569,11.59586105,17.0500341,15.73890311,11.81537523,17.09492623,14.14638063,15.63823052,14.68893358,16.25992225,18.65037136,16.04003593,12.22166803,12.38209232,14.22774286,9.356682784,15.454894,13.32825,11.03025757,14.88236598,11.04107912,16.1715679,14.58917787,12.78597468
10041033,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,33,Mortality rate: 65-69,21.12579791,18.30404686,14.14644903,14.21380913,18.75711207,12.51225158,19.68924506,21.79032677,20.87996526,22.95482907,19.81677738,13.89638204,13.83013342,18.41778913,18.73009927,19.24595935,25.19615601,21.01306312,17.77522285,19.24793085,21.52114116,19.63498562,22.04789826,20.15595672,14.75090636,19.63962944
10041034,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,34,Mortality rate: 70-74,14.76971161,20.76986984,19.91266872,19.66162817,16.50116964,20.90229877,24.30594378,22.26804922,20.75509948,18.16348089,16.64962063,22.80371701,25.05163946,22.55914726,25.71655679,21.20822326,17.75479266,25.78112279,17.24396121,21.21484317,20.00711364,23.95105276,20.66062343,18.4085784,21.96277887,24.72644068
10041035,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,35,Mortality rate: 75-79,17.34581307,20.29059024,15.17094901,9.918470175,19.56996578,20.06042443,19.98072448,22.26541579,23.54844943,21.89967515,24.30443738,20.54442732,21.51848797,18.97792038,23.30934413,15.55765552,22.88604466,27.66798419,21.21198589,25.47079441,22.88292117,21.99405624,28.7894055,19.26720401,33.99517693,25.64075729
10041036,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,36,Mortality rate: 80x4,14.24961526,10.4169626,16.94037928,9.526077638,16.66781054,17.37992516,25.43666271,18.91770797,9.422495265,21.43890804,24.95460843,24.08317832,17.75808416,20.30800474,17.75883502,19.29271239,18.20619342,21.11486486,13.55705126,24.10069426,24.55399962,14.34579404,18.60935976,26.38947939,22.48119919,22.10212608
10041037,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,37,Mortality rate: 85x9,15.09889778,12.92132757,12.51631591,10.57827927,10.404925,13.63070999,23.7123355,21.898425,10.09947988,12.0585702,23.44454463,16.65926255,5.106296063,11.07121957,5.982650314,21.56380731,19.38521185,9.792812076,18.08695652,22.12328199,32.85960733,28.06398589,23.6804715,17.95378184,12.48579741,19.64419453
10041038,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,38,Mortality rate: 90+,4.60447555,0,16.97000552,0,11.99664094,19.16663472,3.690717845,3.53406842,10.20929045,6.740815639,6.698596644,13.26040113,0,13.05142261,23.45137191,13.72872048,10.31920748,12.3342584,5.686826466,21.6772795,18.57256567,5.056634304,7.538635507,4.87009034,23.96644697,16.69568536
10041039,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,39,Crude Rate (Mortality),5.655419974,5.919003726,5.799725297,5.145134019,6.019664237,5.396813516,6.545805854,6.458697911,6.496583863,6.612712199,6.451612903,6.628247743,6.907753121,6.565361387,6.557059961,6.611697323,6.594162732,6.822241648,6.415215381,7.076181873,7.282692344,7.255591293,7.481853713,7.01241512,7.041734257,7.704896931
10041040,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,40,Crude Rate (Lower 95% CI) (Mortality),5.021057609,5.270192197,5.157766547,4.540928751,5.36402025,4.776654809,5.860549417,5.777554986,5.813472883,5.923472327,5.771217173,5.939385097,6.205857446,5.883034414,5.877553616,5.931390271,5.916617153,6.134696845,5.751359888,6.378928099,6.575987567,6.551516374,6.768256097,6.324113732,6.353204254,6.984717548
10041041,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,41,Crude Rate (Upper 95% CI) (Mortality),6.347741492,6.62563758,6.499500549,5.807355431,6.733338045,6.075135237,7.289179051,7.198068975,7.237905293,7.360132405,7.190172899,7.375078236,7.667299288,7.305106229,7.293570255,7.348640525,7.328029092,7.565763509,7.134676209,7.828849315,8.044649578,8.01471306,8.250221933,7.75519249,7.784534804,8.479173106
10041042,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,42,EASR (Mortality),6.809523361,7.118995006,6.947092565,6.116384307,6.987227219,6.667211229,7.592887955,7.590449791,7.527103236,7.342063626,7.34126984,7.434768184,7.613316127,7.468622165,7.298785148,7.250220841,7.301106528,7.479461005,6.886278042,7.658474018,7.789488246,7.584130738,7.781418641,7.282868486,7.468294601,7.828441538
10041044,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,44,EASR (Lower 95% CI) (Mortality),6.019558147,6.315700173,6.15722798,5.38031579,6.211116732,5.859796826,6.778581298,6.772917112,6.715335183,6.564975828,6.544325033,6.643255506,6.829387662,6.666583281,6.522804596,6.4828759,6.535575726,6.71419971,6.165910704,6.891238371,7.01988937,6.841414208,7.030071502,6.561072226,6.727507036,7.089024742
10041045,1,SCOTLAND,410,Malignant brain cancer,0,All Persons,45,EASR (Upper 95% CI) (Mortality),7.647486067,7.969681056,7.783932747,6.898957156,7.808366591,7.525980429,8.452715746,8.453891171,8.384519248,8.161989987,8.183341843,8.270185173,8.439222078,8.315559103,8.117746648,8.059865968,8.10842199,8.285425938,7.645868877,8.465621231,8.598540121,8.364569484,8.570363238,8.041789118,8.247216606,8.604011694
