Cancer site grouping,"Calendar 
period of
diagnosis",Sex,"Age
group","Years 
since 
diagnosis","Cases 
analysed","Deaths 
within 10 years","Censored 
within 10 years","Patients 
remaining at risk 
at timepoint T","Observed 
survival (%)","Lower 95% CI
for observed 
survival","Upper 95% CI
for observed 
survival","Net 
survival (%)","Lower 95% CI 
for net survival","Upper 95% CI 
for net survival"
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-44,1,208,142,0,159,76.4,70.1,81.6,76.6,71.0,82.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-44,5,208,142,0,95,45.7,38.8,52.3,46.1,39.8,53.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-44,10,208,142,0,66,31.7,25.5,38.1,32.4,26.6,39.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,45-54,1,153,135,0,83,54.2,46.0,61.7,54.6,47.2,63.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,45-54,5,153,135,0,29,19.0,13.2,25.5,19.6,14.1,27.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,45-54,10,153,135,0,18,11.8,7.3,17.4,12.8,8.4,19.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,55-64,1,216,209,0,48,22.2,16.9,28.0,22.6,17.6,28.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,55-64,5,216,209,0,13,6.0,3.4,9.7,6.5,3.9,10.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,55-64,10,216,209,0,7,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,65-74,1,217,214,0,27,12.4,8.5,17.2,12.9,9.1,18.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,65-74,5,217,214,0,9,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,65-74,10,217,214,0,3,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,75-99,1,107,105,0,5,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,75-99,5,107,105,0,3,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,75-99,10,107,105,0,2,:,:,:,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-74,1,794,700,0,317,39.9,36.5,43.3,40.3,37.0,43.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-74,5,794,700,0,146,18.4,15.8,21.2,19.1,16.5,22.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-74,10,794,700,0,94,11.8,9.7,14.2,12.7,10.5,15.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",1993-1997,Male,15-99,1,901,805,0,322,35.7,32.6,38.9,36.1,33.1,39.4
