cancer_site_grouping,calendar_period_of_diagnosis,sex,age_group,years_since_diagnosis,cases_analysed,deaths_within_10_years,censored_within_10_years,observed_survival_percent,net_survival_percent
Brain and other CNS Cancer,1993-1997,Male,15-44,1,208,142,0,76.4,76.6
Brain and other CNS Cancer,1993-1997,Male,15-44,5,208,142,0,45.7,46.1
Brain and other CNS Cancer,1993-1997,Male,15-44,10,208,142,0,31.7,32.4
Brain and other CNS Cancer,1993-1997,Male,45-54,1,153,135,0,54.2,54.6
Brain and other CNS Cancer,1993-1997,Male,45-54,5,153,135,0,19,19.6
Brain and other CNS Cancer,1993-1997,Male,45-54,10,153,135,0,11.8,12.8
Brain and other CNS Cancer,1993-1997,Male,55-64,1,216,209,0,22.2,22.6
Brain and other CNS Cancer,1993-1997,Male,55-64,5,216,209,0,6,6.5
Brain and other CNS Cancer,1993-1997,Male,55-64,10,216,209,0,NA,:
Brain and other CNS Cancer,1993-1997,Male,65-74,1,217,214,0,12.4,12.9
Brain and other CNS Cancer,1993-1997,Male,65-74,5,217,214,0,NA,:
Brain and other CNS Cancer,1993-1997,Male,65-74,10,217,214,0,NA,:
Brain and other CNS Cancer,1993-1997,Male,75-99,1,107,105,0,NA,:
Brain and other CNS Cancer,1993-1997,Male,75-99,5,107,105,0,NA,:
Brain and other CNS Cancer,1993-1997,Male,75-99,10,107,105,0,NA,z
Brain and other CNS Cancer,1993-1997,Male,15-74,1,794,700,0,39.9,40.3
Brain and other CNS Cancer,1993-1997,Male,15-74,5,794,700,0,18.4,19.1
Brain and other CNS Cancer,1993-1997,Male,15-74,10,794,700,0,11.8,12.7
Brain and other CNS Cancer,1993-1997,Male,15-99,1,901,805,0,35.7,36.1
Brain and other CNS Cancer,1993-1997,Male,15-99,5,901,805,0,16.5,17.4
Brain and other CNS Cancer,1993-1997,Male,15-99,10,901,805,0,10.7,z
Brain and other CNS Cancer,1993-1997,Male,15-74 ICSS,1,794,700,0,29,29.4
Brain and other CNS Cancer,1993-1997,Male,15-74 ICSS,5,794,700,0,NA,:
Brain and other CNS Cancer,1993-1997,Male,15-74 ICSS,10,794,700,0,NA,:
Brain and other CNS Cancer,1993-1997,Male,15-99 ICSS,1,901,805,0,NA,*20.0
Brain and other CNS Cancer,1993-1997,Male,15-99 ICSS,5,901,805,0,NA,*9.3
Brain and other CNS Cancer,1993-1997,Male,15-99 ICSS,10,901,805,0,NA,:
Brain and other CNS Cancer,1993-1997,Female,15-44,1,139,83,0,77.7,77.8
Brain and other CNS Cancer,1993-1997,Female,15-44,5,139,83,0,56.1,56.3
Brain and other CNS Cancer,1993-1997,Female,15-44,10,139,83,0,40.3,40.8
Brain and other CNS Cancer,1993-1997,Female,45-54,1,109,88,0,51.4,51.6
Brain and other CNS Cancer,1993-1997,Female,45-54,5,109,88,0,25.7,26.2
Brain and other CNS Cancer,1993-1997,Female,45-54,10,109,88,0,19.3,20.3
Brain and other CNS Cancer,1993-1997,Female,55-64,1,160,155,0,19.4,19.6
Brain and other CNS Cancer,1993-1997,Female,55-64,5,160,155,0,8.1,8.6
Brain and other CNS Cancer,1993-1997,Female,55-64,10,160,155,0,NA,:
Brain and other CNS Cancer,1993-1997,Female,65-74,1,213,210,0,8.9,9.2
Brain and other CNS Cancer,1993-1997,Female,65-74,5,213,210,0,NA,:
Brain and other CNS Cancer,1993-1997,Female,65-74,10,213,210,0,NA,:
Brain and other CNS Cancer,1993-1997,Female,75-99,1,134,131,0,8.2,8.8
Brain and other CNS Cancer,1993-1997,Female,75-99,5,134,131,0,NA,:
Brain and other CNS Cancer,1993-1997,Female,75-99,10,134,131,0,NA,z
Brain and other CNS Cancer,1993-1997,Female,15-74,1,621,536,0,34.5,34.6
Brain and other CNS Cancer,1993-1997,Female,15-74,5,621,536,0,20.1,20.6
Brain and other CNS Cancer,1993-1997,Female,15-74,10,621,536,0,13.7,14.2
Brain and other CNS Cancer,1993-1997,Female,15-99,1,755,667,0,29.8,30.0
Brain and other CNS Cancer,1993-1997,Female,15-99,5,755,667,0,17.5,18.2
Brain and other CNS Cancer,1993-1997,Female,15-99,10,755,667,0,11.7,z
Brain and other CNS Cancer,1993-1997,Female,15-74 ICSS,1,621,536,0,26.3,26.5
Brain and other CNS Cancer,1993-1997,Female,15-74 ICSS,5,621,536,0,NA,:
Brain and other CNS Cancer,1993-1997,Female,15-74 ICSS,10,621,536,0,NA,:
Brain and other CNS Cancer,1993-1997,Female,15-99 ICSS,1,755,667,0,21,21.3
Brain and other CNS Cancer,1993-1997,Female,15-99 ICSS,5,755,667,0,NA,*11.8
Brain and other CNS Cancer,1993-1997,Female,15-99 ICSS,10,755,667,0,NA,:
Brain and other CNS Cancer,1998-2002,Male,15-44,1,219,137,1,81.7,81.9
Brain and other CNS Cancer,1998-2002,Male,15-44,5,219,137,1,49.7,50.2
